airline,source,destination,duration,total_stops,additional_info,dep_time_hour,dep_time_min,dtoj_day,dtoj_month,dtoj_year,route_key,price
Jet Airways,delhi,cochin,540,1,in-flight meal not included,10,0,1,4,2019,"('delhi', 'cochin')",5406
Indigo,banglore,new delhi,175,0,no info,20,0,3,3,2019,"('banglore', 'new delhi')",7303
Spicejet,mumbai,hyderabad,90,0,no check-in baggage included,22,45,15,6,2019,"('mumbai', 'hyderabad')",1965
Jet Airways,delhi,cochin,440,2,no info,11,40,1,6,2019,"('delhi', 'cochin')",18804
Multiple Carriers,delhi,cochin,490,1,no info,12,50,21,5,2019,"('delhi', 'cochin')",7485
Air India,delhi,cochin,1410,2,no info,19,45,3,3,2019,"('delhi', 'cochin')",12856
Jet Airways,banglore,new delhi,1135,1,no info,14,5,1,3,2019,"('banglore', 'new delhi')",20800
Indigo,kolkata,banglore,155,0,no info,4,40,18,5,2019,"('kolkata', 'banglore')",4804
Indigo,kolkata,banglore,295,1,no info,9,20,1,4,2019,"('kolkata', 'banglore')",10308
Air India,delhi,cochin,2295,2,no info,5,0,9,5,2019,"('delhi', 'cochin')",9653
Indigo,delhi,cochin,480,1,no info,17,30,9,5,2019,"('delhi', 'cochin')",8330
Spicejet,banglore,delhi,170,0,no check-in baggage included,9,30,18,4,2019,"('banglore', 'delhi')",5515
Spicejet,kolkata,banglore,145,0,no check-in baggage included,9,0,27,4,2019,"('kolkata', 'banglore')",3841
Jet Airways,delhi,cochin,1575,1,no info,17,30,6,3,2019,"('delhi', 'cochin')",17024
Indigo,banglore,new delhi,300,1,no info,19,35,1,3,2019,"('banglore', 'new delhi')",22153
Jet Airways,delhi,cochin,660,1,in-flight meal not included,8,0,9,6,2019,"('delhi', 'cochin')",10262
Indigo,banglore,delhi,175,0,no info,7,10,1,6,2019,"('banglore', 'delhi')",4823
Air Asia,banglore,delhi,170,0,no info,23,55,15,4,2019,"('banglore', 'delhi')",4483
Jet Airways,banglore,new delhi,695,1,in-flight meal not included,22,50,18,3,2019,"('banglore', 'new delhi')",11087
Jet Airways,kolkata,banglore,750,1,no info,9,35,9,6,2019,"('kolkata', 'banglore')",14676
Air India,kolkata,banglore,2000,2,no info,13,55,24,3,2019,"('kolkata', 'banglore')",15292
Jet Airways,kolkata,banglore,1450,1,no info,9,35,9,6,2019,"('kolkata', 'banglore')",14151
Jet Airways,delhi,cochin,505,2,no info,20,0,1,6,2019,"('delhi', 'cochin')",16263
Air India,kolkata,banglore,1350,1,no info,9,25,9,5,2019,"('kolkata', 'banglore')",8366
Vistara,delhi,cochin,190,0,no info,14,40,27,4,2019,"('delhi', 'cochin')",6216
Indigo,kolkata,banglore,150,0,no info,15,15,9,6,2019,"('kolkata', 'banglore')",5224
Jet Airways,kolkata,banglore,1295,1,no info,20,25,21,5,2019,"('kolkata', 'banglore')",14151
Goair,kolkata,banglore,495,1,no info,23,30,15,5,2019,"('kolkata', 'banglore')",6945
Air India,banglore,new delhi,2105,2,no info,11,5,3,3,2019,"('banglore', 'new delhi')",11791
Air India,delhi,cochin,865,2,no info,17,15,27,5,2019,"('delhi', 'cochin')",13879
Jet Airways,delhi,cochin,810,2,no info,5,30,27,6,2019,"('delhi', 'cochin')",13014
Indigo,mumbai,hyderabad,95,0,no info,20,5,3,5,2019,"('mumbai', 'hyderabad')",2754
Multiple Carriers,delhi,cochin,645,1,no info,8,30,18,5,2019,"('delhi', 'cochin')",7887
Jet Airways,kolkata,banglore,705,1,in-flight meal not included,6,30,1,5,2019,"('kolkata', 'banglore')",10844
Jet Airways,delhi,cochin,520,1,no info,19,45,9,3,2019,"('delhi', 'cochin')",15554
Air India,chennai,kolkata,135,0,no info,11,40,12,5,2019,"('chennai', 'kolkata')",4667
Air India,delhi,cochin,375,1,no info,13,0,18,5,2019,"('delhi', 'cochin')",10191
Indigo,banglore,new delhi,170,0,no info,13,0,24,3,2019,"('banglore', 'new delhi')",5694
Jet Airways,delhi,cochin,450,1,in-flight meal not included,11,30,6,6,2019,"('delhi', 'cochin')",10262
Indigo,delhi,cochin,505,1,no info,17,10,6,3,2019,"('delhi', 'cochin')",14871
Air India,delhi,cochin,1275,2,no info,22,0,15,5,2019,"('delhi', 'cochin')",11281
Indigo,delhi,cochin,490,1,no info,14,20,6,6,2019,"('delhi', 'cochin')",6938
Spicejet,kolkata,banglore,155,0,no info,6,55,15,6,2019,"('kolkata', 'banglore')",3873
Air India,kolkata,banglore,155,0,no info,20,45,15,3,2019,"('kolkata', 'banglore')",4435
Jet Airways,delhi,cochin,1460,2,no info,12,15,12,6,2019,"('delhi', 'cochin')",14300
Jet Airways,mumbai,hyderabad,90,0,in-flight meal not included,19,35,15,6,2019,"('mumbai', 'hyderabad')",3210
Multiple Carriers,delhi,cochin,570,1,no info,11,30,15,5,2019,"('delhi', 'cochin')",13727
Jet Airways,delhi,cochin,360,1,no info,13,0,12,6,2019,"('delhi', 'cochin')",14714
Jet Airways,banglore,new delhi,580,1,1 long layover,11,40,1,3,2019,"('banglore', 'new delhi')",27992
Spicejet,kolkata,banglore,145,0,no check-in baggage included,9,0,18,5,2019,"('kolkata', 'banglore')",4439
Jet Airways,kolkata,banglore,795,1,in-flight meal not included,18,55,24,3,2019,"('kolkata', 'banglore')",11134
Multiple Carriers,delhi,cochin,535,1,no info,10,20,15,5,2019,"('delhi', 'cochin')",8266
Jet Airways,banglore,new delhi,650,1,in-flight meal not included,21,25,9,3,2019,"('banglore', 'new delhi')",9134
Indigo,banglore,delhi,175,0,no info,18,55,1,6,2019,"('banglore', 'delhi')",4823
Air India,delhi,cochin,375,1,no info,13,0,21,5,2019,"('delhi', 'cochin')",8372
Indigo,mumbai,hyderabad,85,0,no info,6,20,3,3,2019,"('mumbai', 'hyderabad')",4784
Spicejet,banglore,delhi,160,0,no check-in baggage included,5,55,1,4,2019,"('banglore', 'delhi')",3919
Air India,banglore,delhi,165,0,no info,10,0,18,6,2019,"('banglore', 'delhi')",6961
Jet Airways,kolkata,banglore,800,1,in-flight meal not included,6,30,1,4,2019,"('kolkata', 'banglore')",7064
Indigo,kolkata,banglore,150,0,no info,15,15,18,5,2019,"('kolkata', 'banglore')",4804
Multiple Carriers,delhi,cochin,495,2,no info,13,5,6,3,2019,"('delhi', 'cochin')",10759
Indigo,banglore,new delhi,165,0,no info,6,0,21,3,2019,"('banglore', 'new delhi')",5734
Jet Airways,banglore,delhi,175,0,in-flight meal not included,15,15,9,6,2019,"('banglore', 'delhi')",7229
Indigo,chennai,kolkata,140,0,no info,7,55,1,6,2019,"('chennai', 'kolkata')",3850
Vistara,banglore,new delhi,165,0,no info,9,50,3,3,2019,"('banglore', 'new delhi')",8028
Air India,delhi,cochin,795,1,no info,9,45,3,6,2019,"('delhi', 'cochin')",8907
Spicejet,chennai,kolkata,140,0,no info,17,45,3,5,2019,"('chennai', 'kolkata')",3597
Jet Airways,delhi,cochin,660,1,in-flight meal not included,8,0,27,6,2019,"('delhi', 'cochin')",10262
Jet Airways,kolkata,banglore,1450,1,in-flight meal not included,9,35,1,5,2019,"('kolkata', 'banglore')",9314
Air India,delhi,cochin,1420,2,no info,9,45,24,6,2019,"('delhi', 'cochin')",10975
Indigo,kolkata,banglore,315,1,no info,21,0,6,6,2019,"('kolkata', 'banglore')",6711
Vistara,banglore,delhi,170,0,no info,21,0,9,4,2019,"('banglore', 'delhi')",5403
Goair,delhi,cochin,310,1,no info,14,25,27,6,2019,"('delhi', 'cochin')",7870
Indigo,chennai,kolkata,140,0,no info,19,35,15,3,2019,"('chennai', 'kolkata')",6297
Multiple Carriers,delhi,cochin,585,1,no info,9,15,24,6,2019,"('delhi', 'cochin')",11622
Vistara,kolkata,banglore,1640,1,no info,17,0,6,5,2019,"('kolkata', 'banglore')",8610
Jet Airways,mumbai,hyderabad,90,0,no info,10,20,27,5,2019,"('mumbai', 'hyderabad')",8040
Jet Airways,mumbai,hyderabad,90,0,in-flight meal not included,10,20,18,5,2019,"('mumbai', 'hyderabad')",4050
Indigo,mumbai,hyderabad,85,0,no info,21,20,21,3,2019,"('mumbai', 'hyderabad')",2227
Jet Airways,banglore,new delhi,1455,1,in-flight meal not included,18,55,12,3,2019,"('banglore', 'new delhi')",11087
Spicejet,kolkata,banglore,150,0,no check-in baggage included,17,15,18,3,2019,"('kolkata', 'banglore')",4413
Multiple Carriers,delhi,cochin,780,1,no info,8,0,3,3,2019,"('delhi', 'cochin')",17057
Spicejet,mumbai,hyderabad,90,0,no info,5,45,18,5,2019,"('mumbai', 'hyderabad')",2017
Jet Airways,delhi,cochin,810,2,in-flight meal not included,5,30,1,6,2019,"('delhi', 'cochin')",10368
Jet Airways,kolkata,banglore,1550,1,no info,18,55,6,6,2019,"('kolkata', 'banglore')",14571
Spicejet,kolkata,banglore,140,0,no info,22,20,9,3,2019,"('kolkata', 'banglore')",4622
Spicejet,delhi,cochin,270,1,no check-in baggage included,8,45,15,5,2019,"('delhi', 'cochin')",4760
Jet Airways,delhi,cochin,1295,2,no info,21,25,6,6,2019,"('delhi', 'cochin')",13292
Indigo,delhi,cochin,275,1,no info,7,35,3,6,2019,"('delhi', 'cochin')",6069
Jet Airways,banglore,new delhi,490,1,in-flight meal not included,8,0,15,3,2019,"('banglore', 'new delhi')",9134
Multiple Carriers,delhi,cochin,490,1,no info,12,50,3,6,2019,"('delhi', 'cochin')",7740
Air India,mumbai,hyderabad,1840,2,no info,12,45,6,3,2019,"('mumbai', 'hyderabad')",13253
Jet Airways,delhi,cochin,425,2,in-flight meal not included,5,30,9,6,2019,"('delhi', 'cochin')",13344
Jet Airways,delhi,cochin,1680,1,in-flight meal not included,15,0,6,6,2019,"('delhi', 'cochin')",10262
Multiple Carriers,delhi,cochin,465,2,no info,17,50,3,3,2019,"('delhi', 'cochin')",24528
Jet Airways,delhi,cochin,1430,2,no info,19,10,6,5,2019,"('delhi', 'cochin')",15129
Spicejet,chennai,kolkata,135,0,no check-in baggage included,8,20,21,5,2019,"('chennai', 'kolkata')",3543
Jet Airways,kolkata,banglore,800,1,in-flight meal not included,20,0,18,5,2019,"('kolkata', 'banglore')",10844
Multiple Carriers,delhi,cochin,640,1,no info,10,20,27,3,2019,"('delhi', 'cochin')",6637
Air India,delhi,cochin,1275,2,no info,22,0,1,6,2019,"('delhi', 'cochin')",10861
Air India,kolkata,banglore,590,2,no info,12,0,21,5,2019,"('kolkata', 'banglore')",10151
Indigo,delhi,cochin,490,1,no info,14,20,6,5,2019,"('delhi', 'cochin')",7054
Jet Airways,kolkata,banglore,685,1,in-flight meal not included,8,25,6,6,2019,"('kolkata', 'banglore')",10844
Spicejet,banglore,delhi,175,0,no check-in baggage included,21,10,24,5,2019,"('banglore', 'delhi')",3919
Jet Airways,kolkata,banglore,1005,1,no info,17,0,9,5,2019,"('kolkata', 'banglore')",12121
Jet Airways,delhi,cochin,925,1,in-flight meal not included,13,0,9,6,2019,"('delhi', 'cochin')",10262
Air Asia,banglore,delhi,165,0,no info,11,10,1,6,2019,"('banglore', 'delhi')",4483
Indigo,delhi,cochin,290,1,no info,15,10,18,5,2019,"('delhi', 'cochin')",6496
Air Asia,kolkata,banglore,150,0,no info,19,55,3,5,2019,"('kolkata', 'banglore')",5989
Multiple Carriers,delhi,cochin,395,1,no info,19,0,21,3,2019,"('delhi', 'cochin')",10885
Air India,kolkata,banglore,1045,2,no info,5,50,6,6,2019,"('kolkata', 'banglore')",12723
Jet Airways,delhi,cochin,1615,2,in-flight meal not included,9,40,1,6,2019,"('delhi', 'cochin')",10368
Jet Airways,kolkata,banglore,800,1,no info,18,55,9,6,2019,"('kolkata', 'banglore')",14939
Multiple Carriers,delhi,cochin,730,1,no info,7,5,21,3,2019,"('delhi', 'cochin')",13378
Jet Airways,delhi,cochin,1615,2,in-flight meal not included,9,40,24,6,2019,"('delhi', 'cochin')",10368
Indigo,banglore,new delhi,300,1,no info,14,25,21,3,2019,"('banglore', 'new delhi')",7708
Jet Airways,kolkata,banglore,1520,1,in-flight meal not included,9,35,9,5,2019,"('kolkata', 'banglore')",8066
Jet Airways,mumbai,hyderabad,90,0,in-flight meal not included,8,45,24,6,2019,"('mumbai', 'hyderabad')",4995
Jet Airways,banglore,new delhi,1090,1,no info,14,5,18,3,2019,"('banglore', 'new delhi')",12284
Multiple Carriers,delhi,cochin,520,1,no info,10,20,27,5,2019,"('delhi', 'cochin')",9794
Spicejet,kolkata,banglore,145,0,no check-in baggage included,9,0,18,6,2019,"('kolkata', 'banglore')",3841
Indigo,banglore,delhi,170,0,no info,8,30,3,6,2019,"('banglore', 'delhi')",4823
Jet Airways,delhi,cochin,1125,2,in-flight meal not included,9,40,27,5,2019,"('delhi', 'cochin')",13029
Vistara,chennai,kolkata,140,0,no info,17,45,1,5,2019,"('chennai', 'kolkata')",11982
Air India,banglore,delhi,165,0,no info,6,10,6,4,2019,"('banglore', 'delhi')",5176
Jet Airways,kolkata,banglore,1005,1,no info,17,0,15,5,2019,"('kolkata', 'banglore')",13067
Multiple Carriers,delhi,cochin,585,1,no info,9,15,6,6,2019,"('delhi', 'cochin')",11622
Indigo,delhi,cochin,750,1,no info,8,30,9,6,2019,"('delhi', 'cochin')",6838
Jet Airways,kolkata,banglore,345,1,no info,14,5,18,5,2019,"('kolkata', 'banglore')",14781
Vistara,delhi,cochin,190,0,no info,14,40,12,5,2019,"('delhi', 'cochin')",6216
Goair,banglore,delhi,165,0,no info,20,55,21,6,2019,"('banglore', 'delhi')",3898
Indigo,banglore,delhi,170,0,no info,10,10,6,4,2019,"('banglore', 'delhi')",4423
Multiple Carriers,delhi,cochin,585,1,no info,9,15,1,6,2019,"('delhi', 'cochin')",12042
Air India,banglore,delhi,165,0,no info,10,0,6,6,2019,"('banglore', 'delhi')",6961
Jet Airways,kolkata,banglore,1025,1,no info,18,55,24,3,2019,"('kolkata', 'banglore')",14231
Indigo,banglore,new delhi,180,0,no info,8,30,15,3,2019,"('banglore', 'new delhi')",6860
Indigo,mumbai,hyderabad,90,0,no info,16,55,15,6,2019,"('mumbai', 'hyderabad')",3175
Multiple Carriers,delhi,cochin,450,1,no info,18,0,21,5,2019,"('delhi', 'cochin')",7888
Jet Airways,delhi,cochin,660,1,no info,8,0,3,6,2019,"('delhi', 'cochin')",14924
Jet Airways,delhi,cochin,1325,1,no info,20,55,18,5,2019,"('delhi', 'cochin')",15554
Jet Airways,kolkata,banglore,590,1,in-flight meal not included,8,25,24,5,2019,"('kolkata', 'banglore')",10844
Jet Airways,banglore,new delhi,375,1,no info,14,5,18,3,2019,"('banglore', 'new delhi')",13555
Indigo,mumbai,hyderabad,90,0,no info,19,5,21,5,2019,"('mumbai', 'hyderabad')",2754
Multiple Carriers,delhi,cochin,675,1,in-flight meal not included,8,0,27,5,2019,"('delhi', 'cochin')",11761
Multiple Carriers,delhi,cochin,660,1,no info,8,0,9,4,2019,"('delhi', 'cochin')",11142
Vistara,banglore,delhi,160,0,no info,7,0,27,4,2019,"('banglore', 'delhi')",5613
Jet Airways,banglore,new delhi,1055,1,in-flight meal not included,14,5,18,3,2019,"('banglore', 'new delhi')",10972
Air India,kolkata,banglore,1555,2,no info,9,10,15,5,2019,"('kolkata', 'banglore')",6117
Indigo,delhi,cochin,195,0,no info,5,35,18,5,2019,"('delhi', 'cochin')",6015
Jet Airways,delhi,cochin,865,1,no info,14,0,6,6,2019,"('delhi', 'cochin')",14714
Indigo,kolkata,banglore,295,1,no info,9,20,12,6,2019,"('kolkata', 'banglore')",11160
Spicejet,delhi,cochin,270,1,no info,8,45,27,3,2019,"('delhi', 'cochin')",4466
Jet Airways,delhi,cochin,745,1,in-flight meal not included,16,0,9,6,2019,"('delhi', 'cochin')",10577
Indigo,kolkata,banglore,280,1,no info,17,35,21,5,2019,"('kolkata', 'banglore')",5386
Jet Airways,kolkata,banglore,740,1,no info,8,25,21,5,2019,"('kolkata', 'banglore')",14781
Air India,kolkata,banglore,805,3,no info,9,50,21,5,2019,"('kolkata', 'banglore')",14960
Jet Airways,mumbai,hyderabad,1590,2,no info,14,20,6,3,2019,"('mumbai', 'hyderabad')",24115
Air India,kolkata,banglore,1700,2,no info,9,25,9,5,2019,"('kolkata', 'banglore')",12592
Air Asia,delhi,cochin,865,1,no info,16,45,6,6,2019,"('delhi', 'cochin')",11410
Air India,kolkata,banglore,1610,2,no info,8,20,9,5,2019,"('kolkata', 'banglore')",11222
Jet Airways,mumbai,hyderabad,90,0,in-flight meal not included,10,20,24,5,2019,"('mumbai', 'hyderabad')",4995
Indigo,delhi,cochin,560,1,no info,6,50,9,6,2019,"('delhi', 'cochin')",6442
Jet Airways,delhi,cochin,1390,2,no info,13,25,9,5,2019,"('delhi', 'cochin')",15129
Jet Airways,kolkata,banglore,395,1,in-flight meal not included,17,0,6,6,2019,"('kolkata', 'banglore')",13469
Goair,delhi,cochin,540,1,no info,10,35,21,4,2019,"('delhi', 'cochin')",7031
Jet Airways,kolkata,banglore,1430,1,no info,16,30,12,6,2019,"('kolkata', 'banglore')",13044
Indigo,banglore,delhi,175,0,no info,18,25,3,5,2019,"('banglore', 'delhi')",4823
Air Asia,banglore,new delhi,170,0,no info,5,50,24,3,2019,"('banglore', 'new delhi')",4284
Air India,kolkata,banglore,155,0,no info,20,45,1,4,2019,"('kolkata', 'banglore')",4460
Air India,delhi,cochin,965,1,no info,17,20,21,5,2019,"('delhi', 'cochin')",7480
Multiple Carriers,delhi,cochin,510,1,no info,17,0,24,6,2019,"('delhi', 'cochin')",7198
Spicejet,delhi,cochin,295,1,no info,17,55,3,4,2019,"('delhi', 'cochin')",4611
Jet Airways,kolkata,banglore,1055,1,in-flight meal not included,16,30,1,5,2019,"('kolkata', 'banglore')",8586
Spicejet,banglore,delhi,175,0,no info,21,10,24,5,2019,"('banglore', 'delhi')",3971
Jet Airways,delhi,cochin,1615,2,in-flight meal not included,9,40,9,5,2019,"('delhi', 'cochin')",13029
Multiple Carriers,delhi,cochin,720,1,no info,9,0,27,6,2019,"('delhi', 'cochin')",7408
Jet Airways,kolkata,banglore,1335,1,in-flight meal not included,20,0,9,5,2019,"('kolkata', 'banglore')",7757
Multiple Carriers,delhi,cochin,465,1,no info,11,30,9,5,2019,"('delhi', 'cochin')",14323
Air India,mumbai,hyderabad,905,1,no info,6,10,6,3,2019,"('mumbai', 'hyderabad')",16666
Jet Airways,kolkata,banglore,1315,1,in-flight meal not included,14,5,9,5,2019,"('kolkata', 'banglore')",9663
Air India,banglore,new delhi,1490,1,no info,10,30,3,3,2019,"('banglore', 'new delhi')",11003
Air India,mumbai,hyderabad,1795,2,no info,6,0,6,3,2019,"('mumbai', 'hyderabad')",14219
Indigo,chennai,kolkata,140,0,no info,19,35,6,3,2019,"('chennai', 'kolkata')",7295
Jet Airways,kolkata,banglore,1335,1,in-flight meal not included,20,0,18,5,2019,"('kolkata', 'banglore')",10844
Jet Airways,mumbai,hyderabad,90,0,no info,8,45,24,6,2019,"('mumbai', 'hyderabad')",8040
Jet Airways,kolkata,banglore,1610,1,in-flight meal not included,6,30,12,5,2019,"('kolkata', 'banglore')",9663
Indigo,delhi,cochin,485,1,no info,17,30,9,3,2019,"('delhi', 'cochin')",12351
Air India,banglore,new delhi,715,3,no info,12,0,3,3,2019,"('banglore', 'new delhi')",10573
Jet Airways,mumbai,hyderabad,85,0,in-flight meal not included,2,55,1,6,2019,"('mumbai', 'hyderabad')",4050
Jet Airways,banglore,new delhi,1290,1,in-flight meal not included,22,50,18,3,2019,"('banglore', 'new delhi')",11087
Vistara,banglore,delhi,160,0,no info,7,0,12,4,2019,"('banglore', 'delhi')",5403
Vistara,delhi,cochin,190,0,no info,6,0,21,5,2019,"('delhi', 'cochin')",6741
Air India,delhi,cochin,1560,2,no info,17,15,6,6,2019,"('delhi', 'cochin')",12777
Indigo,banglore,delhi,165,0,no info,6,5,15,6,2019,"('banglore', 'delhi')",4423
Indigo,mumbai,hyderabad,85,0,no info,12,0,18,3,2019,"('mumbai', 'hyderabad')",2754
Jet Airways,kolkata,banglore,735,1,no info,20,0,6,6,2019,"('kolkata', 'banglore')",14571
Air India,kolkata,banglore,150,0,no info,14,15,3,5,2019,"('kolkata', 'banglore')",5510
Jet Airways,delhi,cochin,1320,2,in-flight meal not included,14,35,15,6,2019,"('delhi', 'cochin')",10919
Air India,banglore,delhi,170,0,no info,13,20,1,4,2019,"('banglore', 'delhi')",5911
Multiple Carriers,delhi,cochin,520,1,no info,10,35,27,5,2019,"('delhi', 'cochin')",8625
Indigo,delhi,cochin,565,2,no info,11,55,9,3,2019,"('delhi', 'cochin')",8378
Indigo,delhi,cochin,195,0,no info,5,35,27,3,2019,"('delhi', 'cochin')",4729
Spicejet,chennai,kolkata,135,0,no info,8,20,3,5,2019,"('chennai', 'kolkata')",3597
Jet Airways,kolkata,banglore,740,1,no info,8,25,24,5,2019,"('kolkata', 'banglore')",14571
Spicejet,chennai,kolkata,135,0,no check-in baggage included,9,45,3,6,2019,"('chennai', 'kolkata')",3859
Air India,delhi,cochin,2240,2,no info,5,55,21,5,2019,"('delhi', 'cochin')",10493
